DANISH ABRAR,Indian National Congress,85655
ASHA MEENA,Bharatiya Janata Party,60456
RAJESH GOYAL,Independent,5941
KALU RAM MEENA,Communist Party of India,2909
HANS RAJ,Bahujan Samaj Party,2489
BANSI LAL,Independent,1181
RAM RAJ MALI,Independent,799
RAMBAL MEENA,Ambedkarite Party of India,713
SHIVDAYAL,Bhartiya Panchyat Party,579
RAMRAJ MEENA,National Unionist Zamindara Party,445
RAGHUVEER SINGH RAJAWAT,Independent,365
SATISH JAIN,Aam Aadmi Party,321
JAGDISH MEENA ADVOCATE,Independent,244
BHAGWATI SINGH KUSTALA,Bharat Vahini Party,213
CHAETAN KUMAR RANA,Independent,176
ABDUL SALAM,Independent,173
ASALAM KHAN,Bharatiya Yuva Shakti,131
None of the Above,None of the Above,794
