SURESH MODI,Indian National Congress,66287
PREM SINGH BAJORE,Bharatiya Janata Party,53672
RAMESH KHANDELWAL,Rashtriya Loktantrik Party,25620
RAJESH BHAIDA,Bahujan Samaj Party,13211
MANJU SAINI,Independent,9140
JAIRAM SINGH DABLA,Swaraj India,3347
MOHAN YADAV,Bharatiya Yuva Shakti,1373
NANDARAM,Independent,1192
PREM SINGH,Independent,877
BHAWANI SHANKAR,Aam Aadmi Party,572
SATISH INSHA,Independent,565
SUSHIL KUMAR,Independent,330
DASHRATH KUMAR SAIN,Independent,316
INDRAPAL,Independent,304
GAJANAND SAINI,Independent,251
RAMESH SHARMA,Bhartiya Party,246
BHOPAL SINGH,Loktantrik Janta Dal,208
NARENDRA MOGA,Shiv Sena,207
None of the Above,None of the Above,861
