BHANWARLAL SHARMA,Indian National Congress,95282
ASHOK KUMAR,Bharatiya Janata Party,78466
BALDEV,Rashtriya Loktantrik Party,10273
OMAKAR,Bahujan Samaj Party,6762
COMRADE CHHAGAN LAL CHOUDHARY,Communist Party of India  (Marxist),3516
HIRA LAL,Communist Party of India,3327
BHUPENDRA SINGH,Independent,1865
HARISH KUMAR JANGIR,Independent,971
SANWARMAL,Independent,650
IMRAN KHAN,Independent,524
KARANI SINGH,Independent,462
RAJENDRA PRASAD,Nationalist People's Front,360
VINOD,Abhinav Rajasthan Party,346
None of the Above,None of the Above,2943
