BAJI REDDY GOVERDHAN,Telangana Rashtra Samithi,87976
REKULAPALLY BHOOPATHI REDDY,Indian National Congress,58330
ANAND REDDY GADDAM,Bharatiya Janata Party,16467
KASALA SRINIVAS,Pyramid Party of India,1652
GUGLOTH BALARAJU,All India Jaihind Party,1199
BAISA RAMADASU,Independent,1121
DHAMMAREDDY PRADEEP REDDY,Independent,1058
BB NAYAK,Independent,997
MALAVATH VITHAL,Nationalist Congress Party,991
NOORJAHAN,Bahujana Left Party,374
GANGADHAR MACHA,Independent,301
MALLE MANOJ,India Praja Bandhu Party,300
None of the Above,None of the Above,2203
