PRITHVIRAJ,Indian National Congress,107691
RAMESH CHAND,Bharatiya Janata Party,34385
SHIV DAYAL,Bahujan Samaj Party,14857
KAMLA MEENA,Independent,2118
MAHENDRA SINGH,Bharat Vahini Party,1550
SHARMILA DHANKA,Independent,539
REKHA MEENA,Independent,509
JAI PRAKASH MEENA,Bhartiya Kisan Party,412
HARKESH MEENA,Indian Peoples Green Party,272
RAKESH KUMAR MEENA,Bharatiya Rashtravadi Samanta Party,218
NAHARA SINGH MEENA,Aam Aadmi Party,199
RAJMOHAN MEENA,Ambedkarite Party of India,155
None of the Above,None of the Above,1474
