JAFFAR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen,57940
MOHAMMED FEROZ KHAN,Indian National Congress,48265
CH.ANAND KUMAR GOUD,Telangana Rashtra Samithi,17015
DEVARA KARUNAKAR,Bharatiya Janata Party,11622
N.K.M.LAXMI KUMAR,Communist Party of India  (Marxist),400
MOHAMMAD IMRAN,Independent,340
MASOOD AHMED,Independent,218
MOHAMMED ABDUL WASEEM,Independent,191
T.VIJAY KUMAR,Bahujan Samaj Party,177
BOPPI GANESH,Pyramid Party of India,155
SALMAN HAFEEZ,Aam Aadmi Party,132
PRAVEEN KUMAR. A,Independent,131
GOPAL SAI BABA MEESALA,Independent,109
A.SHIVRAJ,Republican Party of India,97
AZEEM MOHD,Independent,88
AUNDEKER SANTOSH,Independent,82
MOHD. YOUSUF,Independent,82
DR. AHMED SYED,Republican Party of India (A),70
MOHAMMAD ABDUL KHADEER,Majlis Markaz-e-Siyasee Party,65
None of the Above,None of the Above,793
