THANNEERU HARISH RAO,Telangana Rashtra Samithi,131295
BHAVANI MARIKANTI,Telangana Jana Samithi,12596
NAINI NAROTHAM REDDY,Bharatiya Janata Party,11266
PUSHPALATHA MEDOJU,Shramajeevi Party,3206
BURRA SRINIVAAS,Telangana Inti Party,1204
ALLADI SRINIVAS,Independent,931
BHOGI SRINIVAS,Independent,905
GYADARI JAGADISH @ JAGAN,Bahujana Left Party,798
PEDDOLLA SRINIVAS,Bahujan Samaj Party,718
CHINTALA MALLESHAM,Independent,492
DARIPALLI CHANDRAM,Independent,370
LAXMINARAYANA DONTHULA,Independent,342
None of the Above,None of the Above,2932
