RAJ KUMAR GAUR,Independent,44998
ASHOK CHANDAK,Indian National Congress,35818
VINITA AHUJA,Bharatiya Janata Party,29686
JAIDEEP BIHANI,Independent,29206
PRAHALAD RAI TAK,Bahujan Samaj Party,14834
KAMINI JINDAL,National Unionist Zamindara Party,4887
RADHESHYAM GANGANAGAR,Independent,2318
DHIR SINGH,Independent,994
NAND KISHORE BIHANI,Independent,981
KRISHAN KUMAR,Independent,848
AMIT KARGWAL,Aam Aadmi Party,836
PREET KALRA,Independent,457
RAHUL MAHASHAYA,Lok Jan Shakti Party,419
RAJESH BHART,Independent,387
AMIT KHARIWAL,Independent,293
JASWANT SINGH,Maharana Kranti Party,281
ASHOK KUMAR,Independent,275
KARISHMA,Dalit Kranti Dal,233
DAYA RAM,Bharat Lok Sewak Party,219
SHYAM SUNDER,Independent,177
JAKIR HUSAIN,Jantawadi Congress Party,174
MANJEET SINGH,Abhinav Rajasthan Party,162
None of the Above,None of the Above,1170
