KONINTY MANIK RAO,Telangana Rashtra Samithi,96598
DR. JETTY GEETA,Indian National Congress,62125
JANGAM GOPI,Bharatiya Janata Party,19454
K.V. NALIN DUTT,Independent,4330
B. RAMCHANDER,Communist Party of India  (Marxist),1036
PRAVEEN,Independent,744
RAMULU HUGGELLY,Independent,698
MALEDODDI PADMARAO,Bahujan Samaj Party,521
BANTU PURUSHOTHAM RAO,Nava Praja Rajyam Party,430
CHITTAMPALLY BALRAJ,Independent,277
HARI KRISHNA MANNE,Bahujan Mukti Party,231
MALLESH GANGWAR,Shiv Sena,225
SAJJAPUR. RAMESH,Jai Swaraj Party,181
ERPULA ASHOK,Independent,165
None of the Above,None of the Above,1884
