T. RAJA SINGH,Bharatiya Janata Party,61854
PREM SINGH RATHORE,Telangana Rashtra Samithi,44120
M.MUKESH GOUD,Indian National Congress,26322
SURESH HASAJI,National Youth Party,443
RAVI KUMAR JAIN,Independent,423
K. SAI KUMAR,Bahujan Samaj Party,420
SYED SIDDIQ AKBAR ALI,Democratic Party of India,364
RIZWAN MOHAMMED BAKARMAN,Majlis Bachao Tahreek,268
GHAN SHYAM DAS JOSHI,Samajwadi Party,260
G.SAMBASHIVA RAO,Independent,214
M. KRISHNA,Independent,180
NARENDAR SINGH THAKUR,Independent,145
M RAJESH,Bahujana Left Party,120
MIR MOHD HUSSAIN,Aam Aadmi Party,112
BHAJRANG SINGH,Anarakshit Samaj Party,109
KHAJA KHAN,Akhil Bharatiya Muslim League (Secular),103
RAJU NOUKADAWALE,Republican Party of India (A),102
B. ABHIMANYU YADAV,Ambedkar National Congress,99
VEENA SINGH,Independent,91
M B CHANDAR,Shiv Sena,89
SYED RIYAZUDDIN,Welfare Party Of India,88
B YELLESH MADIGA,Bahujan Mukti Party,83
B.V.RAMESH BABU,Independent,76
SOMA THRINATH RAO,Independent,64
MILIND RAJ SINGH,Independent,53
None of the Above,None of the Above,709
