K.P VIVEKANAND,Telangana Rashtra Samithi,154500
KUNA SRISAILAM GOUD,Indian National Congress,113000
KASANI VEERESH KASANI,Bharatiya Janata Party,9833
RAVIPATI LOKA VIDYA SAGAR,Samajwadi Forward Bloc,3045
SANJEEVA REDDY KORIMILLA,Bahujan Samaj Party,1080
DONTHULA BIKSHAPATHI,Independent,727
BATTULA SIDDESHWARLU,Prajaa Swaraaj Party,695
K.RANGA RAO,Independent,679
BODIGE LINGASWAMI,Bahujana Left Party,375
KAMMETA BHUPAL,Independent,338
M.S.RAMULU,Independent,337
V.KURUMURTHI,Independent,295
V.KIRAN KUMAR,Pyramid Party of India,293
ASHWIN GARISHE,Independent,223
K.RAJESH,Independent,214
NAGIREDDY DASHARADHA RAAMI REDDY,All India Jaihind Party,203
SESHAGIRI RAO PASUMARTHI,Praja Satta Party,189
CHENNAM SHETTY JAYA SARADHI,Independent,152
M.SANTOSH KUMAR,Shiv Sena,113
VASANTHA RAGHAVA KADIYALA,Independent,101
None of the Above,None of the Above,2976
