GUDEM MAHIPAL REDDY,Telangana Rashtra Samithi,116474
KATA SRINIVAS GOUD,Indian National Congress,78775
KARUNAKAR REDDY. P,Bharatiya Janata Party,7428
M PRAVEEN KUMAR,Independent,3439
BALAIAH. M,Bahujan Samaj Party,2597
SHAMSHABAD SUDARSHAN MUDIRAJ,Independent,956
ROYYAPALLI SRINIVAS,Communist Party of India  (Marxist),800
SYED HAMEED,Independent,470
METTU SRIDHAR,Independent,336
S. SATYANARAYANA,Independent,260
BHARATESH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),252
PATAN MAKTHUM SAHEB,Independent,211
KALLU NARSIMLU GOUD,Independent,169
T.D.S. MANI,India Praja Bandhu Party,155
KURMA BHOOMANI NARASIMHA,Independent,146
DUBASHI MOHAN DAS,New India Party,110
None of the Above,None of the Above,1487
