LALIT KUMAR OSTWAL,Bharatiya Janata Party,97111
PRAKASH CHOUDHARY,Indian National Congress,88301
CHAMAN PAL SINGH,Bahujan Samaj Party,3704
MAHENDRA SINGH,Independent,2951
VINOD KUMAR BHOI,Independent,2181
DILIP KUMAR SONI,Anjuman Party,1901
GOVIND KUMAR TELI,Independent,646
DORAN KHAN,Indian New Congress Party,430
GULAB CHAND SEHLOT,Independent,313
RAMESH CHANDRA SETHIYA,United National Party,239
NEPAL SINGH RATHORE,Janta Sena Rajasthan,238
None of the Above,None of the Above,3563
