SURESH TAK,Independent,82678
VIKASH CHOUDHARY,Bharatiya Janata Party,65226
NATHU RAM SINODIYA,Independent,22851
NANDA RAM,Indian National Congress,15157
MATADEEN,Independent,2955
UMRAV CHOUDHARY,Aam Aadmi Party,1369
SUNIL LAKHOTIYA,Independent,933
SATYANARAYAN SAIN,Independent,887
RAMDAYAL,Bahujan Samaj Party,842
GOPAL SHARMA,Hindustan Shakti Sena,646
SAJJAN KANWAR,Bharatiya Yuva Shakti,450
RAMDEV GURJAR,Independent,358
TARUNA SHARMA,Bharat Lok Sewak Party,341
DR. MAHESH KUMBHAJ,Independent,287
BHAWANI SINGH KHANGAROT,Independent,253
GOPAL MAHESHWARI,Abhinav Rajasthan Party,215
None of the Above,None of the Above,674
