DR. SUBHASH GARG,Rashtriya Lok Dal,52869
VIJAY BANSAL(PAPPU BANDA),Bharatiya Janata Party,37159
GIRDHARI TIWARI,Bharat Vahini Party,35407
DALVEER SINGH,Independent,24258
JASVEER SINGH,Bahujan Samaj Party,15018
SANJEEV GUPTA,Aam Aadmi Party,2169
UDAI SINGH,Shiv Sena,1296
DR. RITU CHOUDHARY,Independent,962
DINESH,Independent,829
SHEETAL PRASHAD SHARMA,Independent,576
MAHENDRA SINGH,Ambedkarite Party of India,352
TRILOK CHAND,Independent,333
JAILAL VARMA,Independent,328
TEJ SINGH,Dalit Kranti Dal,326
POORAN SINGH,Independent,325
PRIYANKA,Bharatiya Yuva Shakti,301
YOGESH,Loktantrik Janta Dal,248
SANJAY KASHMIRIYA,Independent,209
HAJARI LAL SHARMA,Independent,101
None of the Above,None of the Above,686
