ANJANA UDAILAL,Indian National Congress,110037
SHRICHAND KRIPLANI,Bharatiya Janata Party,98129
SHAKIR MIYAN,Independent,2635
RAMESHCHANDRA KUMAWAT,Bahujan Samaj Party,1508
ISHWAR PRATAP SINGH,Bharat Vahini Party,1059
SAGARMAL,Independent,667
GULABCHAND SAHLOT,Independent,371
MEGHRAJ JAT,Rashtriya Loktantrik Party,282
KANHAIYA LAL MALI,Maharana Kranti Party,177
KANHAIYALAL MEGHWAL,Independent,151
SATYANARAYAN SHARMA,Aam Aadmi Party,137
MD. RAFIK,Lok Jan Shakti Party,130
ER. RAM KUMAR CHAWALA,Bahujan Mukti Party,125
None of the Above,None of the Above,3701
