SHAKUNTALA RAWAT,Indian National Congress,65656
DEVI SINGH SHEKHAWAT,Independent,47736
MAHENDRA KUMAR YADAV,Bharatiya Janata Party,44226
MUKESH,Samajwadi Party,3122
OMPRAKASH,Bahujan Samaj Party,1442
JALE SINGH,Independent,1426
OMPRAKASH GURJAR,Abhinav Rajasthan Party,992
MEERA BAI,Rashtriya Loktantrik Party,556
ASHOK SINGH CHAUHAN,Independent,457
KULDEEP SHARMA,Bharat Vahini Party,312
POORAN MAL GURJAR,Nationalist People's Front,305
GHANSHYAM,Loktantrik Janta Dal,255
None of the Above,None of the Above,1966
