MUTHIREDDY YADAGIRI REDDY,Telangana Rashtra Samithi,91592
LAKSHMAIAH PONNALA,Indian National Congress,62024
LAXMAN BHIMA,Samajwadi Forward Bloc,10031
MERUGU SRINIVAS,Independent,3604
K.V.L.N. REDDY (RAJU),Bharatiya Janata Party,3122
UDUTHA RAVI YADAV,Communist Party of India  (Marxist),2691
SRINIVAS REDDY SHAKAMPALLY,Independent,1380
KOTHAPALLI SATISH KUMAR,Bahujan Samaj Party,1018
THUPPATHI SIDDULU,Nava Samaj Party,619
MAHENDER REDDY KONDETI,Independent,593
VENKATA RAJAIAH THATIKONDA,Samajwadi Party,589
UPENDAR JERIPOTHULA,Independent,576
MOHAN RAJU AKKALADEVI,Bahujana Rashtra Samithi,408
MANTHENA NARESH,Independent,395
NIMMA JAYARAM REDDY,Aam Aadmi Party,210
None of the Above,None of the Above,2616
