JAGDISH CHANDER,Indian National Congress,73153
GURVEER SINGH BRAR,Bharatiya Janata Party,63477
OM BISHNOI,Independent,36767
PALA RAM,Communist Party of India  (Marxist),2602
AVTAR SINGH,Communist Party of India,1764
BALWANT NIMIWAL,Abhinav Rajasthan Party,1744
VINOD KHICHAR,Bahujan Samaj Party,1097
ANKIT BHAMBHU,Aam Aadmi Party,1072
MAJOR SINGH,Independent,783
NIRANJAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),347
KRISHAN GOSWAMI,Republican Party of India (A),309
None of the Above,None of the Above,1641
