SHAKIL AAMIR MOHAMMED,Telangana Rashtra Samithi,74895
SUDARSHAN REDDY PODDUTURI,Indian National Congress,66794
ALJAPUR SRINIVAS,Bharatiya Janata Party,8434
GOPI KISHAN,Shiv Sena,2425
SINGADE PANDU,Bahujan Samaj Party,1365
MD.NAWAZ PASHA,Independent,796
BANJA VEERAPPA,Pyramid Party of India,677
MOHAMMED SHARJEEL PARVEZ,Independent,615
BANAVATH JEEVAN NAYAK,Bahujana Left Party,385
GADDAM VIKRAM REDDY,Independent,344
M.D.YOUSUF,Samajwadi Party,278
None of the Above,None of the Above,1862
