SANYAM LODHA,Independent,81272
OTARAM DEVASI,Bharatiya Janata Party,71019
JIVA RAM ARYA,Indian National Congress,14656
TEJRAJ SOLANKI,Independent,1966
DEEPA RAJGURU,Hindusthan Nirman Dal,1790
BHERA RAM BARAR (MEGHWAL),Independent,1184
HAJA RAM MEGHWAL,Independent,1176
SHANKAR SINGH,Bahujan Samaj Party,899
ASLAMKHAN,Independent,449
PRABHU SINGH,Abhinav Rajasthan Party,446
TRIKMA RAM,Independent,261
HIMMAT MAL SOLANKI,Shiv Sena,237
KALU RAM,Independent,235
PINTU KUMAR,Aam Aadmi Party,166
PAPI DAVI,Bharatiya Yuva Shakti,107
None of the Above,None of the Above,2621
