RAVI SHANKAR SUNKE,Telangana Rashtra Samithi,91090
MEDIPALLY SATHYAM,Indian National Congress,48963
BODIGA SHOBHA GALANNA,Bharatiya Janata Party,15835
DASARI VIDYASAGAR,Independent,2222
BODDU NARSAIAH,Independent,2215
BOLLAMPELLY AILAIAH,Independent,1860
MANDA RAVINDAR,Bahujan Samaj Party,1848
AKKENAPALLY YESURATNAM,Bahujana Raajyam Party (Phule Ambedkar),861
KANAKAM VAMSHI,Bahujana Left Party,551
CHILUKA LINGAIAH,Marxist Communist Party of India (United),506
UPPULETI LAXMAN,Independent,503
BOLLI KISHAN,Bahujana Rashtra Samithi,356
KANUKA RAMESH,Jai Swaraj Party,304
None of the Above,None of the Above,2220
