ABRAHAM V.M.,Telangana Rashtra Samithi,102105
S.A.SAMPATH KUMAR,Indian National Congress,57426
HARIJANA ABRAHAM,Samajwadi Forward Bloc,8803
B.RAJINI,Bharatiya Janata Party,1965
B.HUSSAIN,Bahujan Samaj Party,1066
T.SURESH MAHARAJ,Independent,983
N.SOMESHWARI,Independent,896
PRASANGI,Pyramid Party of India,711
K. JAYAPAL,Independent,517
K.VARAPRASAD RAO,Bahujana Left Party,514
A.RAGHUVARDHAN,Independent,364
D.LAXMANNA,Independent,354
M. MADDLLETI,Independent,250
H.PARUSHA RAMUDU,Shiv Sena,237
None of the Above,None of the Above,3492
