KAUSAR MOHIUDDIN,All India Majlis-E-Ittehadul Muslimeen,87586
AMAR SINGH,Bharatiya Janata Party,37417
T.JEEVAN SINGH,Telangana Rashtra Samithi,24699
OSMAN BIN MOHAMMED AL HAJRI,Indian National Congress,11231
MATANGI RAMESH KUMAR,Independent,722
G. VITTAL,Bahujana Left Party,466
SAYYAD RAHIMODDIN,Bahujan Samaj Party,363
MOHAMMED IRFAN,Aam Aadmi Party,317
RAVI KUMAR PURRA,Independent,294
MOHAMMED LAIQ,Majlis Bachao Tahreek,253
V. RAMESH,Shiv Sena,231
V. NARSING RAO,Telangana Inti Party,200
GEETHA THAKUR,Anarakshit Samaj Party,198
DR. LUBNA SARWATH,Socialist Party (India),155
FARHATH KHATIJA,Loktantrik Sarvjan Samaj Party,154
MASURI RAJESH,India Praja Bandhu Party,139
SATU JANGAIAH YADAV,Independent,134
CHINNI RAKESH,New India Party,129
None of the Above,None of the Above,938
