MANJEET DHARAMPAL CHOUDHARY,Bharatiya Janata Party,73191
LALIT YADAV,Bahujan Samaj Party,55589
BHARAT YADAV,Loktantrik Janta Dal,21852
ROHITASH,Independent,1608
SHISHRAM CHHAWDY,Independent,1392
SANJAY SINGH,Akhand Samta Party,1392
DR. RAKESH KUMAR JAT,Independent,828
JAYVEER SINGH CHOUHAN,Independent,598
ARUN KUMAR,Bhartiya Panchyat Party,579
RAJU,Independent,561
SURESH KUMAR,Independent,549
RAMNATH MEGHWAL,Ambedkarite Party of India,328
AMAR PAL SINGH,Independent,326
SURAJBHAN YADAV,Independent,265
BHUPENDRA SINGH,Nationalist People's Front,264
HARISINGH SHARMA,Independent,258
KAMALJEET,Aam Aadmi Party,241
VIJAY KUMAR,Republican Party of India (A),180
JAKIR HUSAIN,Bharatiya Yuva Shakti,164
ANAND YADAV,Independent,145
ANIL KUMAR SINDHI,Independent,144
SHANTANU KUMAR,Bharat Vahini Party,64
None of the Above,None of the Above,400
