KALVAKUNTLA VIDYASAGAR RAO,Telangana Rashtra Samithi,84605
JUVVADI NARSINGA RAO,Indian National Congress,53385
DR. J N VENKAT,Bharatiya Janata Party,16046
MD. RASHEED KHAN,Samajwadi Party,3540
PUPPALA LIMBADRI,Bahujan Samaj Party,939
MADDENAPELLI RAMULU,Independent,892
VEMULAA VIKRAM REDDY,Independent,601
DAYYA RAGHU VEER,Bahujan Mukti Party,489
RAJ PAL ERRA,Bahujana Rashtra Samithi,290
JAGILAM RAMESH,Independent,259
GANNARAPU BHUMAIAH,Independent,205
AKULA HANMANDLU,Independent,189
None of the Above,None of the Above,2426
