PADMA DEVENDER REDDY. M,Telangana Rashtra Samithi,97670
AMMAREDDY GARI UPENDER REDDY,Indian National Congress,49687
REVELLI VINAY SAGAR,Samajwadi Forward Bloc,6947
AKULA RAJAIAH,Bharatiya Janata Party,6321
RUDRAVARAM VENUGOPAL,Independent,1490
M. SANTHOSH REDDY,Pyramid Party of India,1188
BEESA ASHOK KUMAR,Bahujan Samaj Party,1044
L.PARSHIYA,BhartiyaBahujanKranti Dal,953
LASMAGALLA SHEKAR,Independent,541
DUDA YADESHWAR,Bahujana Left Party,324
P.SHASHIDHAR REDDY,Nationalist Congress Party,229
GUNDUKADI KARNAKAR,India Praja Bandhu Party,205
None of the Above,None of the Above,2263
