ABHINESH MAHARSHI,Bharatiya Janata Party,71201
POOSARAM GODARA,Independent,59320
BHANWARLAL PUJARI,Indian National Congress,22791
RAJ KUMAR RINWA,Independent,18789
DAULAT RAM PENSIA,Janata Dal  (United),3387
ROHTASH KUMAR,Independent,2231
ASHOK SINGH RATHORE (RAVANA RAJPUT),Independent,1375
HEMANT KUMAR,Bahujan Samaj Party,820
SANJAY KUMAR,Independent,802
BANSHILAL,Abhinav Rajasthan Party,714
AMARCHAND,Aam Aadmi Party,647
PAVITRA DEVI,Rashtriya Loktantrik Party,556
OM PRAKASH,Ambedkarite Party of India,392
ASHOKKUMAR,Independent,350
SAMSHER SINGH,Bharat Vahini Party,317
PANKAJ KUMAR,Bahujan Mukti Party,214
JEETENDRA BHARGAV,Republican Party of India (A),199
None of the Above,None of the Above,533
