BALVEER SINGH LUTHRA,Bharatiya Janata Party,76935
SHYOPAT RAM,Communist Party of India  (Marxist),43264
SOHAN LAL NAYAK,Independent,38234
SONA DEVI,Indian National Congress,31294
SUCHCHA SINGH,Aam Aadmi Party,3541
KUMBHARAM,Bahujan Samaj Party,1357
YODESH RAJ BOKOLIYA,Independent,1302
HARJI RAM,Independent,1058
RAJESH KUMAR SIKARWAL,National Unionist Zamindara Party,1036
RAJPAL LOTIA,Bharatiya Rashtravadi Samanta Party,752
SONA SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),562
MAHAVIR PRASAD,Independent,448
DURGARAM,Independent,359
KRISHAN LAL,Independent,313
RAJESH KUMAR,Maharana Kranti Party,295
None of the Above,None of the Above,1842
