BABULAL NAGAR,Independent,68769
DR. PREM CHAND BAIRWA,Bharatiya Janata Party,53990
RITESH BAIRWA,Indian National Congress,28798
SHANKAR LAL NAROLIA,Rashtriya Loktantrik Party,18948
RAMESH KUMAR,Independent,1443
GOPAL LAL BAIRWA,Bharatiya Yuva Shakti,1393
JITENDRA KUMAR SURYAWANSHI (BAIRWA),Bahujan Samaj Party,1297
NANAK RAM KHATEEK,Aam Aadmi Party,605
RAMLAL,Akhil Bhartiya Aamjan Party,429
MANOJ KUMAR JATOLIA,Khushhal Kisan Party,285
None of the Above,None of the Above,1496
