SURYAKANTA VYAS,Bharatiya Janata Party,86885
PROFESSOR AYYUB KHAN,Indian National Congress,81122
GHASIRAM BHATI,Bahujan Samaj Party,1676
VIKAS SHARMA,Bharat Vahini Party,1009
SAMPAT PUNIYA,Independent,919
ALKA SHARMA,Aam Aadmi Party,899
JANAK SONI,Independent,580
VIRENDRA PURI,Independent,515
SAMPAT RAJ MEGHWAL,Independent,395
YOGESH,Independent,377
RAMESH,Independent,337
GANESH SINGH JODHA,Independent,186
SANDEEP GODARA,Abhinav Rajasthan Party,156
SATYANARAYAN PRAJAPAT,Republican Party of India (Reformist),125
ANAND PRAKASH,Independent,118
None of the Above,None of the Above,2294
