JOGU RAMANNA,Telangana Rashtra Samithi,74050
PAYAL SHANKER,Bharatiya Janata Party,47444
GANDRATH SUJATHA,Indian National Congress,32200
KOTHAPELLY NARAYANA,Rajyadhikara Party,4125
EERLA SATYANARAYANA,Bahujan Samaj Party,1352
KASTALA ARUN KUMAR,Independent,954
ANNAM DEVENDAR,Independent,838
DATTATRI ELCHALA,Nationalist Congress Party,659
AVULA YATHEENDRA NATH YADAV,Shiv Sena,616
DANDE SANDEEP,Ambedkarite Party of India,573
THOGARI RAMULU,Independent,553
Y. SANJAY REDDY,Aam Aadmi Party,490
KAMLE BHAGAVAN,Nava Praja Rajyam Party,454
PENDUR MANOHAR,Gondvana Gantantra Party,336
None of the Above,None of the Above,1149
