RAMKESH,Independent,58744
MANSINGH GURJAR,Bharatiya Janata Party,48678
RAJESH,Indian National Congress,39861
RAMKHILARI MEENA,Bahujan Samaj Party,5295
DASHARATH SINGH,Independent,944
RAHMAT KHAN,Independent,855
MANOJ KUMAR BAIRWA,Independent,803
PANKAJ KUMAR,Abhinav Rajasthan Party,662
KAUSHAL TANWAR,Independent,440
RAM SAHAY MEENA KALKY,Peoples Party of India (Democratic),245
KRISHNA KANT,Independent,174
OMPRAKASH,Independent,150
MUKESH CHAND,Aam Aadmi Party,130
SAIYAD JAKIR HUSAIN,Nationalist People's Front,129
None of the Above,None of the Above,2186
