RAFEEK KHAN,Indian National Congress,88541
ASHOK PARNAMI,Bharatiya Janata Party,75988
SANDEEP SHARMA,Independent,1280
JITENDRA KUMAR HATWAL,Aam Aadmi Party,1247
KRISHAN KISHORE,Independent,1067
PAWAN GAUR,Independent,865
BABA ASHFAKUDDIN QURESHI,Independent,670
FARMIDA BANO,Independent,634
SANWAR LAL SHARMA,Bahujan Samaj Party,618
INDER KUMAR CHOPRA,Bharat Vahini Party,174
AMIT VYAS,Independent,165
MOHASIN QURESHI,Independent,163
LALCHAND SAINI,Independent,120
MOHAMMAD NADEEM,Independent,114
SHAKIL,Independent,113
BADAMI DEVI,Independent,94
MO. ABDULLA,Independent,88
ABDUL SAEED,Indian Peoples Green Party,86
AHSAN AHMAD ANSARI,Rashtriya Loktantrik Party,86
ABDUL AZIZ (BABBIE),Independent,85
INDERJEET KAUL,Shiv Sena,82
YOGESH SHARMA,Independent,82
NRASINGH PANDEY,Bharatiya Yuva Shakti,68
SHAHABUDDIN,Bhartiya Panchyat Party,65
MOINUDIN,Independent,65
RIAZUDDIN,Independent,63
MUJEEB KHAN,Jago Party,60
WASIM AHMAD,Independent,59
BADRI SINGH,Independent,46
RAJNEESH GAUR,Independent,45
RAJENDRA KUMAR BASWALA,Independent,45
None of the Above,None of the Above,1493
