ANITA BHADEL,Bharatiya Janata Party,69064
HEMANT BHATI,Indian National Congress,63364
DR RAKESH SHIVASHIYA,Independent,1065
GANPAT LAL,Bahujan Samaj Party,793
VIJAY KUMAR,National Future Party,564
AMIT LAHIRI,Bharatiya Yuva Shakti,358
PANKAJ,Aam Aadmi Party,191
ASHOK KUMAR NOGIYA,Republican Party of India (A),135
BEENA SUKRIYA,Bhartiya Public Labour Party,131
JAGDISH BHAMBI,Bharatiya Rashtravadi Samanta Party,129
PRAMENDRA CHOUHAN,Shiv Sena,110
None of the Above,None of the Above,1779
