MUMTAZ AHMED KHAN,All India Majlis-E-Ittehadul Muslimeen,53808
T UMA MAHENDRA,Bharatiya Janata Party,21222
MOHD GHOUSE,Indian National Congress,16899
MOHAMMED SALAHUDDIN LODHI,Telangana Rashtra Samithi,6223
M A WAHAB,Independent,705
JUNAID ANAM SIDDIQUI,Independent,281
SANJAY KUMAR SHUKLA,Independent,210
MIR HASAN ALI RAZVI,Independent,170
CHITRA SAXENA,Bahujan Samaj Party,140
SHAIK ISMAIL,Bahujana Left Party,138
MOHD SHARFUDDIN,Aam Aadmi Party,126
MOHD SOHAIL,Independent,116
SHAIK MOIN,Independent,54
SUNITHA DHOTRE,Loktantrik Sarvjan Samaj Party,52
G.CHANDRA SHEKAR,Independent,46
PRAKASH DULGANDE,Independent,45
None of the Above,None of the Above,614
