GOPAL LAL MEENA,Indian National Congress,89165
MAHENDRA PAL MEENA,Bharatiya Janata Party,67481
MEERA DEVI,Independent,1042
KISHAN LAL MEENA,Aam Aadmi Party,908
MALIRAM NAYAKA,Independent,331
LEELADHAR MEENA,Rashtriya Loktantrik Party,155
MADAN LAL VERMA,Bharat Vahini Party,147
HANUMAN SAHAYA DHANKA,Bhartiya Panchyat Party,128
RAMESH CHAND DHANKA,Indian Peoples Green Party,125
RIDDHI CHAND MEENA,Bharatiya Yuva Shakti,95
RAM PRVESH DABLA,Bharatiya Rashtravadi Samanta Party,95
None of the Above,None of the Above,2195
