KALICHARAN SARAF,Bharatiya Janata Party,70221
DR. ARCHANA SHARMA,Indian National Congress,68517
DR. BHARAT LAL GUPTA,Aam Aadmi Party,888
SAROJ BAIRWA,Bahujan Samaj Party,619
DINESH MITTAL,Independent,485
RAJESH KUMAR SHARMA,Independent,471
ABHISHEK SANGHI ALIAS BITTU JAIN,Independent,295
PRADEEP KUMAR,Republican Party of India (A),211
SHANKAR LAL AGARWAL,Independent,211
KAPUR CHANDRA,Independent,191
KAPOOR CHAND BAIRWA,Independent,176
ALOK GUPTA,Bharat Vahini Party,173
BHAGWAN DAS ALIAS NARESH SARSOP,Janata Dal  (United),161
SANGRAM SINGH NATHAWAT,Independent,130
TRILOK TIWARI,Jago Party,124
RAVI KUMAR VERMA (MEGHWAL),Ambedkarite Party of India,112
SAMAY SINGH,Bhartiya Kisan Party,93
HARISH BAIRWA,Independent,84
SUKHDEV SHARMA,Independent,78
KANHAIYA LAKHERA,Bharatiya Yuva Shakti,66
SHILA CHOUDHARY,Peoples Party of India (Democratic),62
DR. SANTOSH KUMAR AGARWAL,Independent,42
None of the Above,None of the Above,2371
