ASHOK LAHOTY,Bharatiya Janata Party,107947
PUSHPENDRA BHARDWAJ,Indian National Congress,72542
GHANSHYAM TIWARI,Bharat Vahini Party,17371
RAMESH PRAJAPAT,Dalit Soshit Pichhara Varg  Adhikar Dal,1081
JAWAHAR SHARMA,Aam Aadmi Party,1010
RAVI PRAKASH,Hindustan Shakti Sena,1009
RAMESH CHANDRA MATHUR,Independent,794
SITARAM SIGHADIA,Bahujan Samaj Party,779
DR. M.P. GOYAL,Bharatiya Rashtravadi Samanta Party,773
GAJANAND GUPTA,Abhinav Rajasthan Party,584
MUKESH KUMAR SHARMA,Indian Peoples Green Party,365
SURESH SAINI,Independent,349
RAMAVTAR SAINI,Bhartiya Jan Satta Party,303
SUNIL SHARMA,Jago Party,213
BADRI PRASAD DHAKA,Swaraj India,209
KRISHANDEEP,Sarvshakti Dal,191
DR.LILA VYAS,Independent,170
PARVEEN BANO,Communist Party of India  (Marxist-Leninist)  (Liberation),169
ABHINAV CHATURVEDI,Naya Bharat Party,157
GULSHAN BAGHLA,Bhartiya Panchyat Party,153
VISHRAM SINGH MEENA,Peoples Party of India (Democratic),152
KALU RAM SAHU,Shiv Sena,152
RAMLAL DHANKA,Independent,144
AMAR SINGH CHOUDHARY,Bhartiya Jan Hitkari Party,134
CHANDRAVEER SINGH RAJAWAT,Independent,122
SURENDRA KUMAWAT,Independent,121
GYANENDRA TIWARI,Nationalist People's Front,100
BABITA WADHWANI,Independent,88
KAILASH KHANDELWAL,Independent,65
None of the Above,None of the Above,2325
