PATLOLLA SABITHA INDRA REDDY,Indian National Congress,95481
TEEGALA KRISHNA REDDY,Telangana Rashtra Samithi,86254
ANDELA SRIRAMULU,Bharatiya Janata Party,39445
KRISHNA REDDY,Samajwadi Forward Bloc,3457
SHEKAR IBRAM,Bahujan Samaj Party,2031
MD. JAFFAR,Independent,1381
MOHAMMED MERAJ UDDIN,Independent,708
SRIKANTH GUNJA,Independent,656
KANKTEKAR ARUN KUMAR,Bahujana Left Party,546
DUDUKA SRISAILAM,Independent,479
C. PADMA,Pyramid Party of India,440
NAKKA SHARATH KUMAR,Independent,416
EDUKOJU PRANAY RAJ,Independent,228
G. SOUJANYA GUPTHA,Shiv Sena,187
SYED ABBAS,Aam Aadmi Party,144
G.MADHUSUDHAN,Jai Swaraj Party,124
RUPANI LINGASVAMI,All India Forward Bloc,102
None of the Above,None of the Above,2171
