ERRABELLI DAYAKAR RAO,Telangana Rashtra Samithi,117504
JANGA RAGAVA REDDY,Indian National Congress,64451
L. VIJAY,Samajwadi Forward Bloc,3199
BILLA SUDHEER REDDY,Independent,2559
MACHARLA SRINIVAS,Independent,1835
SOMAIAH PEDAGANI,Bharatiya Janata Party,1306
JILUKARA SREENIVAS,Bahujan Samaj Party,1280
KUNABOINA KUMARA SWAMY,Telangana Karmika Raithu Rajyam Party,1130
MAMINDLA RAMESH RAJA,Communist Party of India  (Marxist-Leninist)  (Liberation),1029
DAYAKAR SINGAPURAM,Independent,890
GOLA GANGA RAO,Independent,746
KORRA NARASIMHA,Independent,580
VISHWANATH GOVIAMSA,Republican Party of India,295
MAKKALA NAGALAXMI,Bahujana Left Party,234
RAMU BEERELLI,Independent,152
GARE VENKATESH,Samajwadi Party,115
THANDA UPENDER,Telangana Prajala Party,72
L.M.S. GOUD,Jai Swaraj Party,64
None of the Above,None of the Above,1078
