ASHOK DOGRA,Bharatiya Janata Party,97370
HARIMOHAN SHARMA,Indian National Congress,96657
SITA,Bahujan Samaj Party,3556
ABDUL ANIS ANSARI,SOCIAL DEMOCRATIC PARTY OF INDIA,3456
SANTOSH KUMARI,Independent,3002
MANGILAL BHEEL,Independent,2483
HEMRAJ,Independent,2102
LAKHAN,Independent,2006
RUKHSANA,Independent,1497
RAKESH KUMAR,Independent,976
GYARSI LAL GURJAR,Independent,751
PREM SHANKAR,Independent,500
OM PRAKASH MEENA,Bhartiya Kisan Party,466
MANOJ KUMAR,Independent,438
RAM KUWAR,Bharatiya Yuva Shakti,327
GHANSHYAM,Naya Bharat Party,270
KAMLESH CHAUHAN,Rashtriya Mazdoor Kisan Party,259
None of the Above,None of the Above,1692
