KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,97239
KOOSUKUNTLA PRABHAKAR REDDY,Telangana Rashtra Samithi,74687
GANGIDI MANOHAR REDDY,Bharatiya Janata Party,12725
MANGA VENKATESH KURUMA,Independent,3569
CHILUVERU NAGARAJU,Samajwadi Forward Bloc,2279
GOSHIKA KARUNAKAR,Bahujana Left Party,2080
MALGA YADAIAH,Bahujan Samaj Party,738
KAMBAMPATI SATYANARAYANA,Telangana Inti Party,688
BHEEMAGANI MAHESHWAR GOUD,Independent,457
PALVAI SRAVAN REDDY,Independent,325
MANCHUKONDA NAGARAJU,Pyramid Party of India,226
UDARI MALLESH,Independent,220
BONGU VENKATESH GOUD,Social Justice Party of India,204
NAKKA YADISHWAR,Independent,179
EEDA BHASKAR,Independent,141
None of the Above,None of the Above,3086
