NARENDRA BUDANIYA,Indian National Congress,56968
RAKESH JANGIR,Bharatiya Janata Party,44413
DR. CHANDRASHEKHAR BAID,Independent,41296
COMRADE NIRMAL KUMAR,Communist Party of India  (Marxist),13416
TILOKA RAM KASWAN,Independent,12570
ANUPAL SINGH,Kranti Janshakti Party,1625
ALISHER KHAN,Bahujan Samaj Party,1333
RAMESH KUMAR,Independent,1251
VIRENDRA SINGH,Independent,1179
NATTHU SINGH,Independent,911
DR. RAHUL KASWAN,Independent,769
AMARJEET,Independent,600
BISHANARAM,Bahujan Sangharshh Dal,420
BHOJRAJ,Aam Aadmi Party,384
BUDDHRAM,Bahujan Mukti Party,266
HOSHIYAR SINGH,Dalit Kranti Dal,240
None of the Above,None of the Above,663
