ESHWAR KOPPULA,Telangana Rashtra Samithi,70579
ADLURI LAXMAN KUMAR,Indian National Congress,70138
KUNTALA NARSAIAH,Independent,13114
KANNAM ANJAIAH,Bharatiya Janata Party,5272
BURADAGUNTA SANGHA MITHRA,Independent,1259
THADAGONDA NAGARAJU,Bahujan Samaj Party,1063
SATHPADI PRANAY KUMAR,Jai Swaraj Party,535
MADDELA RAVINDAR,Bahujana Left Party,302
MOTHE NARESH,New India Party,300
SANDRUGU VIJAYA KUMAR,India Praja Bandhu Party,294
DUDA MAHIPAL,Naya Bharat Party,291
None of the Above,None of the Above,2600
