MOHAN RAM CHOUDHARY,Bharatiya Janata Party,86315
HABIBUR REHMAN ASHRAFI LAMBA,Indian National Congress,73307
SAMSHER KHAN,Rashtriya Loktantrik Party,5372
BAJRANG RAM,Bahujan Samaj Party,2158
NARENDRA,Independent,2089
GOUTAM NAYAK,Dalit Kranti Dal,1613
BHANWARLAL,Independent,1263
JITENDRA,Independent,587
REWANT RAM,Abhinav Rajasthan Party,416
GOVINDLAL,Independent,353
SIYARAM,Bahujan Sangharshh Dal,276
SANTOSH SONI,Shiv Sena,274
CHHOTURAM,Sarvadharam Party (Madhya Pradesh),272
ROOPSINGH,Janata Dal  (United),173
RAMPRASAD KHATEEK,Indian Peoples Green Party,171
None of the Above,None of the Above,1453
