SHANKAR SINGH RAWAT,Bharatiya Janata Party,69932
PARASMAL JAIN,Indian National Congress,65430
DEVENDRA SINGH CHOUHAN,Independent,18674
ABHISHEK SINGH,Independent,2828
DHANNARAM KHORWAL,Bahujan Samaj Party,1443
MANJEET SINGH,Aam Aadmi Party,1114
VIJAY KUMAR KUMAWAT,Independent,742
SURENDRA KUMAR,Independent,703
PRAKASH PARIHAR,Independent,462
GOPAL SINGH CHOUHAN,Independent,458
RAHUL RAWAT,Nationalist People's Front,387
MISHRI KATHAT,Indian Peoples Green Party,306
None of the Above,None of the Above,2114
