BIGALA GANESH,Telangana Rashtra Samithi,71896
TAHER BIN HAMDAN,Indian National Congress,46055
LAXMI NARAYANA YENDALA,Bharatiya Janata Party,24192
RATNAKAR NARALA,All India Forward Bloc,2827
RAMESH RASHAMALLU,Bahujan Samaj Party,1546
K.V.LAXMA REDDY,Independent,754
BALLA SRINIVAS,Independent,625
PRASHANTHI G.,Independent,512
MOHAMMED SIRAJUDDIN,Aam Aadmi Party,451
MOHAMMED KHAJA MOINUDDIN,Independent,304
PADAKANTI RAMU,Independent,198
ABDUL RAHEEM,Samajwadi Party,175
M. PRADEEP,Independent,146
H.M.ISMAIL MOHAMMED,Bahujana Left Party,135
PUPPALA RAVINDHAR,Independent,108
SYED MUJEEBUDDIN,Ambedkar National Congress,103
G SHANKAR,Independent,93
VOJJA RAMESH,Pyramid Party of India,90
MANCHIRALA RAGHUNATH,Telangana Prajala Party,80
SHIVA PRASAD MAHAJAN,Independent,77
SYED KHAISER,Independent,57
None of the Above,None of the Above,855
