Aizawl  North - i,10,VANLALHLANA,Independent,LALRINGLIANA,Mizo National Front,1165                                              ,Result Declared,R. ROMAWIA,Indian National Congress,657
Aizawl East - i,13,ZORAMTHANGA,Mizo National Front,K SAPDANGA,Independent,2504                                              ,Result Declared,R. LALRINAWMA,Indian National Congress,422
Aizawl East ii,14,ROBERT ROMAWIA ROYTE,Mizo National Front,B LALCHHANZOVA,Independent,1492                                              ,Result Declared,LALSAWTA,Indian National Congress,177
Aizawl North - ii,11,VANLALTHLANA,Independent,LALTLANZOVA KHIANGTE,Mizo National Front,1801                                              ,Result Declared,LALTHANLIANA,Mizoram People's Conference,311
Aizawl North-iii,12,C LALMUANPUIA,Mizo National Front,LAL THANZARA,Indian National Congress,434                                               ,Result Declared,LAL THANZARA,Indian National Congress,750
Aizawl South i,18,C. LALSAWIVUNGA,Independent,K. LIANTLINGA,Mizo National Front,1049                                              ,Result Declared,R. VANLALVENA,Indian National Congress,1296
Aizawl South ii,19,LALCHHUANTHANGA,Independent,DENGHMINGTHANGA,Mizo National Front,179                                               ,Result Declared,LT. COL. ZOSANGZUALA,Indian National Congress,1043
Aizawl South-iii,20,F. LALNUNMAWIA,Mizo National Front,K.S THANGA,Indian National Congress,2088                                              ,Result Declared,K. S. THANGA,Indian National Congress,667
Aizawl West i,15,LALDUHOMA,Independent,K. SANGTHUAMA,Mizo National Front,1060                                              ,Result Declared,K SANGTHUAMA,Mizo National Front,462
Aizawl West ii,16,LALRUATKIMA,Mizo National Front,DR. LALMALSAWMA NGHAKA,Indian National Congress,2720                                              ,Result Declared,LALRUATKIMA,Mizo National Front,630
Aizawl West iii,17,V.L. ZAITHANZAMA,Independent,VANLALZAWMA,Mizo National Front,1026                                              ,Result Declared,VANLALZAWMA,Mizo National Front,978
Chalfilh,8,LALRINLIANA SAILO,Mizo National Front,F. RUALHLEIA,Independent,1007                                              ,Result Declared,DR. NGURDINGLIANA,Indian National Congress,3728
Champhai North,23,DR ZR.THIAMSANGA,Mizo National Front,T.T. ZOTHANSANGA,Indian National Congress,1093                                              ,Result Declared,T.T. ZOTHANSANGA,Indian National Congress,1470
Champhai South,24,T.J LALNUNTLUANGA,Mizo National Front,LAL THANHAWLA,Indian National Congress,1049                                              ,Result Declared,JH.ROTHUAMA,Indian National Congress,1650
Dampa,2,LALRINTLUANGA SAILO,Mizo National Front,LALROBIAKA,Indian National Congress,1657                                              ,Result Declared,LALROBIAKA,Indian National Congress,1161
East tuipui,25,RAMTHANMAWIA,Mizo National Front,C.LALTANPUIA,Independent,587                                               ,Result Declared,T. SANGKUNGA,Indian National Congress,798
Hachhek,1,LALRINDIKA RALTE,Indian National Congress,LALRINENGA SAILO,Mizo National Front,366                                               ,Result Declared,LALRINMAWIA RALTE,Indian National Congress,2333
Hrangturzo,28,LALCHAMLIANA,Mizo National Front,VANLALAWMPUII CHAWNGTHU,Indian National Congress,757                                               ,Result Declared,LAL THANHAWLA,Indian National Congress,1628
