AGAR ,166,MANOHAR UNTWAL,Bharatiya Janata Party,VIPIN WANKHEDE,Indian National Congress,2490                                              ,Result Declared,MANOHAR OONTWAL,Bharatiya Janata Party,28859
ALIRAJPUR,191,MUKESH RAWAT (PATEL),Indian National Congress,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,21962                                             ,Result Declared,CHOUHAN NAGARSINGH,Bharatiya Janata Party,17369
ALOTE,223,MANOJ CHAWLA,Indian National Congress,JITENDRA THAWARCHAND GEHLOT,Bharatiya Janata Party,5448                                              ,Result Declared,JITENDRA THAVARCHAND GEHLOT,Bharatiya Janata Party,7973
AMARPATAN,66,RAMKHELAWAN PATEL,Bharatiya Janata Party,"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",Indian National Congress,3747                                              ,Result Declared,RAJENDRA KUMAR SINGH DADABHAI,Indian National Congress,11739
AMARWARA,123,KAMLESH PRATAP SHAH,Indian National Congress,MANMOHAN SHAH BATTI,Gondvana Gantantra Party,10393                                             ,Result Declared,KAMLESH   SHAH,Indian National Congress,4063
AMBAH ,8,KAMLESH JATAV,Indian National Congress,NEHA KINNAR,Independent,7547                                              ,Result Declared,SATYAPRAKASH,Bahujan Samaj Party,11288
AMLA,130,DR. YOGESH PANDAGRE,Bharatiya Janata Party,MANOJ MALVE,Indian National Congress,19197                                             ,Result Declared,CHAITRAM MANEKAR,Bharatiya Janata Party,39602
ANUPPUR,87,BISAHULAL SINGH,Indian National Congress,RAMLAL RAUTEL,Bharatiya Janata Party,11561                                             ,Result Declared,RAMLAL RAUTEL,Bharatiya Janata Party,11745
ASHOK NAGAR ,32,"JAJPAL SINGH ""JAJJI""",Indian National Congress,ER. LADDURAM KORI,Bharatiya Janata Party,9730                                              ,Result Declared,GOPILAL JATAV,Bharatiya Janata Party,3348
ASHTA ,157,RAGHUNATH SINGH MALVIYA,Bharatiya Janata Party,GOPAL SINGH ENGINEER,Indian National Congress,6044                                              ,Result Declared,RANJEET SINGH GUNWAN,Bharatiya Janata Party,5504
ATER ,9,ARVIND SINGH BHADORIA,Bharatiya Janata Party,HEMANT SATYADEV KATARE,Indian National Congress,4978                                              ,Result Declared,SATYADEV KATARE,Indian National Congress,11426
BADNAGAR,218,MURLI MORWAL,Indian National Congress,SANJAY SHARMA,Bharatiya Janata Party,5381                                              ,Result Declared,MUKESH PANDYA,Bharatiya Janata Party,13135
BADNAWAR,202,RAJVARDHAN SINGH - PREMSINGH DATTIGAW,Indian National Congress,BHANWARSINGH SHEKHAWAT,Bharatiya Janata Party,41506                                             ,Result Declared,BHANVARSINGH SHEKHAWAT,Bharatiya Janata Party,9812
BADWAHA,182,SACHIN BIRLA,Indian National Congress,HITENDRASINGH SOLANKI,Bharatiya Janata Party,30508                                             ,Result Declared,HITENDRA SINH DHYAN SINH SOLANKI,Bharatiya Janata Party,5630
BADWARA,91,VIJAYRAGHVENDRA SINGH (BASANT SINGH),Indian National Congress,MOTI KASHYAP,Bharatiya Janata Party,21360                                             ,Result Declared,MOTI KASHYAP,Bharatiya Janata Party,3287
BAGLI,174,KANNOJE PAHADSINGH,Bharatiya Janata Party,KAMAL WASKALE,Indian National Congress,11843                                             ,Result Declared,CHAMPALAL DEVDA,Bharatiya Janata Party,25332
BAHORIBAND,94,PRANAY PRABHAT PANDEY (GUDDU BHAIYA),Bharatiya Janata Party,KUNWAR SAURABH SINGH,Indian National Congress,16435                                             ,Result Declared,PRABHAT PANDEY (BADE BABBU),Bharatiya Janata Party,20918
BAIHAR ,108,SANJAY UIKEY,Indian National Congress,ANUPAMA NETAM,Bharatiya Janata Party,16480                                             ,Result Declared,SANJAY UIEKE,Indian National Congress,32352
BALAGHAT ,111,GAURISHANKER CHATURBHUJ BISEN,Bharatiya Janata Party,ANUBHA MUNJARE,Samajwadi Party,27654                                             ,Result Declared,GOURISHANKAR CHATURBHUJ BISEN,Bharatiya Janata Party,2500
BAMORI ,28,MAHENDRA SINGH SISODIYA (SANJU BHAIYA),Indian National Congress,"BRIJMOHAN SINGH ""AZAD""",Bharatiya Janata Party,27920                                             ,Result Declared,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Indian National Congress,18561
