Bharatpur,73,DR. SUBHASH GARG,Rashtriya Lok Dal,VIJAY BANSAL(PAPPU BANDA),Bharatiya Janata Party,15710                                             ,Result Declared,VIJAY BANSAL (PAPPU BANDA),Bharatiya Janata Party,22694
Bhilwara,180,VITTHAL SHANKAR AWASTHI,Bharatiya Janata Party,OM PRAKASH NARANIWAL,Independent,49578                                             ,Result Declared,VITTHAL SHANKAR AVASTHI,Bharatiya Janata Party,46116
Bhim ,173,SUDARSHAN SINGH RAWAT,Indian National Congress,HARI SINGH CHOUHAN (RAWAT),Bharatiya Janata Party,3714                                              ,Result Declared,HARI SINGH RAWAT (PANNA SINGH),Bharatiya Janata Party,18451
Bhinmal,143,POORARAM CHOUDHARY,Bharatiya Janata Party,SAMARJIT SINGH,Indian National Congress,9646                                              ,Result Declared,POORA RAM CHOUDHARY,Bharatiya Janata Party,40191
Bhopalgarh ,126,PUKHRAJ,Rashtriya Loktantrik Party,BHANWARLAL BALAI,Indian National Congress,4962                                              ,Result Declared,KAMASA,Bharatiya Janata Party,35810
Bikaner East,14,SIDDHI KUMARI,Bharatiya Janata Party,KANHAIYA LAL JHANWAR,Indian National Congress,7061                                              ,Result Declared,SIDDHI KUMARI,Bharatiya Janata Party,31677
Bikaner West,13,BULAKI DAS KALLA,Indian National Congress,GOPAL KRISHN,Bharatiya Janata Party,6190                                              ,Result Declared,GOPAL KRISHNA,Bharatiya Janata Party,6424
Bilara ,131,HEERARAM,Indian National Congress,ARJUN LAL,Bharatiya Janata Party,9618                                              ,Result Declared,ARJUNLAL,Bharatiya Janata Party,35941
Bundi,186,ASHOK DOGRA,Bharatiya Janata Party,HARIMOHAN SHARMA,Indian National Congress,713                                               ,Result Declared,ASHOK DOGRA,Bharatiya Janata Party,27636
Chaksu   ,58,VED PRAKASH SOLANKI,Indian National Congress,RAMAVATAR BAIRWA,Bharatiya Janata Party,3431                                              ,Result Declared,LAXMINARAIN BAIRWA,Bharatiya Janata Party,12358
Chhabra,196,PRATAP SINGH,Bharatiya Janata Party,KARAN SINGH,Indian National Congress,3744                                              ,Result Declared,PRATAP SINGH,Bharatiya Janata Party,61385
Chittorgarh,169,CHANDRABHAN SINGH AAKYA,Bharatiya Janata Party,SURENDRA SINGH JADAWAT,Indian National Congress,23894                                             ,Result Declared,CHANDRABHAN SINGH (AKYA),Bharatiya Janata Party,11850
Chohtan ,140,PADMARAM,Indian National Congress,ADU RAM MEGHWAL,Bharatiya Janata Party,4262                                              ,Result Declared,TARUN RAI KAGA,Bharatiya Janata Party,23526
Chomu,43,RAMLAL SHARMA,Bharatiya Janata Party,BHAGWAN SAHAI SAINI,Indian National Congress,1288                                              ,Result Declared,RAMLAL SHARMA,Bharatiya Janata Party,44473
Chorasi ,161,RAJKUMAR ROAT,Bhartiya Tribal Party,SUSHIL KATARA,Bharatiya Janata Party,12934                                             ,Result Declared,SUSHIL KATARA,Bharatiya Janata Party,20313
Churu,22,RAJENDRA RATHORE,Bharatiya Janata Party,RAFIQUE MANDELIA,Indian National Congress,1850                                              ,Result Declared,RAJENDRA RATHORE,Bharatiya Janata Party,24002
Civil lines,51,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,ARUN CHATURVEDI,Bharatiya Janata Party,18078                                             ,Result Declared,ARUN CHATURVEDI,Bharatiya Janata Party,11129
