Achampet ,82,GUVVALA BALARAJU,Telangana Rashtra Samithi,CHIKKUDU VAMSHIKRISHNA,Indian National Congress,9114                                              ,Result Declared,,,
Adilabad,7,JOGU RAMANNA,Telangana Rashtra Samithi,PAYAL SHANKER,Bharatiya Janata Party,26606                                             ,Result Declared,,,
Alair,97,GONGIDI SUNEETHA,Telangana Rashtra Samithi,BUDIDA BIKSHAMAIAH,Indian National Congress,33086                                             ,Result Declared,,,
Alampur ,80,ABRAHAM V.M.,Telangana Rashtra Samithi,S.A.SAMPATH KUMAR,Indian National Congress,44679                                             ,Result Declared,,,
Amberpet  ,59,KALERU  VENKATESHAM,Telangana Rashtra Samithi,G.KISHAN REDDY,Bharatiya Janata Party,1016                                              ,Result Declared,,,
Andole ,36,KRANTHI KIRAN CHANTI,Telangana Rashtra Samithi,C.DAMODAR RAJANARSIMHA,Indian National Congress,16465                                             ,Result Declared,,,
Armur,11,ASHANNAGARI JEEVAN REDDY,Telangana Rashtra Samithi,AKULA LALITHA,Indian National Congress,28795                                             ,Result Declared,,,
Asifabad ,5,ATHRAM SAKKU,Indian National Congress,KOVA LAXMI,Telangana Rashtra Samithi,171                                               ,Result Declared,,,
Aswaraopeta ,118,MECHA NAGESWARA RAO,Telugu Desam,THATI VENKATESWARLU S/O KATTAPPA THATI,Telangana Rashtra Samithi,13117                                             ,Result Declared,,,
Bahadurpura,69,MOHD. MOAZAM KHAN,All India Majlis-E-Ittehadul Muslimeen,MIR INAYATH ALI BAQRI,Telangana Rashtra Samithi,82518                                             ,Result Declared,,,
Balkonda,19,VEMULA PRASHANTH REDDY,Telangana Rashtra Samithi,SUNIL KUMAR MUTHYALA,Bahujan Samaj Party,32408                                             ,Result Declared,,,
Banswada,14,POCHARAM SRINIVAS REDDY (PARIGE),Telangana Rashtra Samithi,KASULA BALARAJU,Indian National Congress,18485                                             ,Result Declared,,,
Bellampalli,3,DURGAM CHINNAIAH,Telangana Rashtra Samithi,GADDAM VINOD,Bahujan Samaj Party,11276                                             ,Result Declared,,,
Bhadrachalam ,119,PODEM VEERAIAH,Indian National Congress,TELLAM VENKATA RAO,Telangana Rashtra Samithi,11785                                             ,Result Declared,,,
Bhongir,94,PAILLA SHEKAR REDDY,Telangana Rashtra Samithi,ANIL KUMAR REDDY KUMBAM,Indian National Congress,24063                                             ,Result Declared,,,
Bhupalpalle,108,GANDRA VENKATA RAMANA REDDY,Indian National Congress,GANDRA SATHYANARAYANA RAO(SATHANNA),All India Forward Bloc,15635                                             ,Result Declared,,,
Boath ,8,BAPU RAO RATHOD,Telangana Rashtra Samithi,BAPU RAO SOYAM,Indian National Congress,6486                                              ,Result Declared,,,
Bodhan,12,SHAKIL AAMIR MOHAMMED,Telangana Rashtra Samithi,SUDARSHAN REDDY PODDUTURI,Indian National Congress,8101                                              ,Result Declared,,,
Chandrayangutta ,67,AKBARUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,SHAHEJADI SAYYAD,Bharatiya Janata Party,80264                                             ,Result Declared,,,
Charminar ,66,MUMTAZ AHMED KHAN,All India Majlis-E-Ittehadul Muslimeen,T UMA MAHENDRA,Bharatiya Janata Party,32586                                             ,Result Declared,,,
Chennur ,2,BALKA SUMAN,Telangana Rashtra Samithi,VENKATESH NETHA BORLAKUNTA,Indian National Congress,28132                                             ,Result Declared,,,
Chevella ,53,KALE YADAIAH,Telangana Rashtra Samithi,K.S RATNAM,Indian National Congress,33552                                             ,Result Declared,,,
Choppadandi ,27,RAVI SHANKAR SUNKE,Telangana Rashtra Samithi,MEDIPALLY SATHYAM,Indian National Congress,42127                                             ,Result Declared,,,
Devarakonda ,86,RAMAVATH RAVINDRA KUMAR,Telangana Rashtra Samithi,BALU NAIK NENAVATH,Indian National Congress,38848                                             ,Result Declared,,,
Devarkadra,76,ALLA VENKATESWAR REDDY,Telangana Rashtra Samithi,PAVAN KUMAR,Indian National Congress,35248                                             ,Result Declared,,,
Dharmapuri,22,ESHWAR KOPPULA,Telangana Rashtra Samithi,ADLURI LAXMAN KUMAR,Indian National Congress,441                                               ,Result Declared,,,
Dornakal ,101,DHARAM SOTH REDYA NAIK,Telangana Rashtra Samithi,JATOTH RAM CHANDRU NAIK,Indian National Congress,17381                                             ,Result Declared,,,
Dubbak,41,SOLIPETA RAMALINGA REDDY,Telangana Rashtra Samithi,MADDULA NAGESHWAR REDDY,Indian National Congress,62500                                             ,Result Declared,,,
Gadwal,79,BANDLA KRISHNA MOHAN REDDY,Telangana Rashtra Samithi,ARUNA D.K,Indian National Congress,28260                                             ,Result Declared,,,
Gajwel,42,KALVAKUNTLA CHANDRASHEKAR RAO,Telangana Rashtra Samithi,VANTERU PRATAP REDDY,Indian National Congress,58290                                             ,Result Declared,,,
Ghanpur (Station),99,DR. THATIKONDA RAJAIAH,Telangana Rashtra Samithi,INDIRA SINGAPURAM,Indian National Congress,35790                                             ,Result Declared,,,
Goshamahal,65,T. RAJA SINGH,Bharatiya Janata Party,PREM SINGH RATHORE,Telangana Rashtra Samithi,17734                                             ,Result Declared,,,
Husnabad,32,SATISH KUMAR VODITELA,Telangana Rashtra Samithi,CHADHA VENKAT REDDY,Communist Party of India,70530                                             ,Result Declared,,,
Huzurabad,31,EATALA RAJENDAR,Telangana Rashtra Samithi,KAUSHIK  REDDY PADI,Indian National Congress,43719                                             ,Result Declared,,,
Huzurnagar,89,UTTAM KUMAR REDDY NALAMADA,Indian National Congress,SANAMPUDI SAIDIREDDY,Telangana Rashtra Samithi,7466                                              ,Result Declared,,,
Ibrahimpatnam,48,MANCHIREDDY KISHAN REDDY,Telangana Rashtra Samithi,MALREDDY RANGA REDDY,Bahujan Samaj Party,376                                               ,Result Declared,,,
Jadcherla,75,CHARLAKOLA LAXMA REDDY,Telangana Rashtra Samithi,DR. MALLU RAVI,Indian National Congress,45082                                             ,Result Declared,,,
Jagtial ,21,M.SANJAY KUMAR,Telangana Rashtra Samithi,THATIPARTHI JEEVAN REDDY,Indian National Congress,61185                                             ,Result Declared,,,
Jangoan,98,MUTHIREDDY YADAGIRI REDDY,Telangana Rashtra Samithi,LAKSHMAIAH PONNALA,Indian National Congress,29568                                             ,Result Declared,,,
Jubilee Hills,61,MAGANTI GOPINATH,Telangana Rashtra Samithi,P.VISHNUVARDHAN REDDY,Indian National Congress,16004                                             ,Result Declared,,,
Jukkal ,13,HANMANTH SHINDE,Telangana Rashtra Samithi,GANGARAM SOUDAGAR,Indian National Congress,35625                                             ,Result Declared,,,
Kalwakurthy ,83,GURKA JAIPAL YADAV,Telangana Rashtra Samithi,ACHARY TALLOJU,Bharatiya Janata Party,3447                                              ,Result Declared,,,
Kamareddy,16,GAMPA GOVARDHAN,Telangana Rashtra Samithi,MOHD. ALI SHABBIR,Indian National Congress,4557                                              ,Result Declared,,,
Karimnagar ,26,GANGULA KAMALAKAR,Telangana Rashtra Samithi,BANDI SANJAY KUMAR,Bharatiya Janata Party,14974                                             ,Result Declared,,,
Karwan,64,KAUSAR MOHIUDDIN,All India Majlis-E-Ittehadul Muslimeen,AMAR SINGH,Bharatiya Janata Party,50169                                             ,Result Declared,,,
Khairatabad,60,DANAM NAGENDER,Telangana Rashtra Samithi,CHINTALA RAMA CHANDRA REDDY,Bharatiya Janata Party,28402                                             ,Result Declared,,,
Khammam,112,AJAY KUMAR PUVVADA,Telangana Rashtra Samithi,NAMA NAGESWARA RAO,Telugu Desam,10991                                             ,Result Declared,,,
Khanapur ,6,AJMERA REKHA,Telangana Rashtra Samithi,RAMESH RATHOD,Indian National Congress,20710                                             ,Result Declared,,,
