Abhanpur,53,DHANENDRA SAHU,Indian National Congress,CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,23471                                             ,Result Declared,DHANENDRA SAHU,Indian National Congress,8354
Ahiwara,67,GURU RUDRA KUMAR,Indian National Congress,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,31687                                             ,Result Declared,RAJMAHNT SANWLA RAM DAHRE,Bharatiya Janata Party,31676
Akaltara,33,SAURABH SINGH,Bharatiya Janata Party,RICHA JOGI,Bahujan Samaj Party,1854                                              ,Result Declared,CHUNNILAL SAHU,Indian National Congress,21693
Ambikapur,10,T.S. BABA,Indian National Congress,ANURAG SINGH DEO,Bharatiya Janata Party,39624                                             ,Result Declared,T.S.BABA,Indian National Congress,19558
Antagarh,79,ANOOP NAG,Indian National Congress,VIKRAM USENDI,Bharatiya Janata Party,13414                                             ,Result Declared,VIKRAM USENDI,Bharatiya Janata Party,5171
Arang,52,DR. SHIVKUMAR DAHARIYA,Indian National Congress,SANJAY DHIDHI,Bharatiya Janata Party,25077                                             ,Result Declared,NAVEEN MARKANDEY,Bharatiya Janata Party,13774
Baikunthpur,3,AMBICA SINGH DEO,Indian National Congress,BHAIYALAL RAJWADE,Bharatiya Janata Party,5339                                              ,Result Declared,BHAIYALAL RAJWADE,Bharatiya Janata Party,1069
Balodabazar,45,PRAMOD KUMAR SHARMA,Janta Congress Chhattisgarh (J),JANAK RAM VERMA,Indian National Congress,2129                                              ,Result Declared,JANAK RAM VERMA,Indian National Congress,9977
Basna,40,DEVENDRA BAHADUR SINGH,Indian National Congress,SAMPAT AGRAWAL,Independent,17508                                             ,Result Declared,RUPKUMARI CHOUDHARY,Bharatiya Janata Party,6239
Bastar,85,BAGHEL LAKHESHWAR,Indian National Congress,DR. SUBHAU KASHYAP,Bharatiya Janata Party,33471                                             ,Result Declared,BAGHEL LAKHESHWAR,Indian National Congress,19168
